datetime,temperature,wind,sunshine,precipitation
2019-07-19 03:00:00,17.5,1.2,0.0,0.0
2019-07-19 04:00:00,16.9,2.0,0.0,1.6
2019-07-19 05:00:00,16.5,1.6,0.0,1.2
2019-07-19 06:00:00,16.3,1.8,0.0,0.2
2019-07-19 07:00:00,16.1,1.9,0.0,0.0
2019-07-19 08:00:00,16.6,1.4,0.0,0.0
2019-07-19 09:00:00,17.4,1.5,0.0,0.0
2019-07-19 10:00:00,18.6,2.0,1.0,0.0
2019-07-19 11:00:00,20.1,2.1,20.0,0.0
2019-07-19 12:00:00,21.3,2.7,21.0,0.0
2019-07-19 13:00:00,22.2,3.8,18.0,0.0
2019-07-19 14:00:00,23.7,4.6,54.0,0.0
2019-07-19 15:00:00,24.0,3.6,35.0,0.0
2019-07-19 16:00:00,24.8,2.5,36.0,0.0
2019-07-19 17:00:00,24.7,2.7,33.0,0.0
2019-07-19 18:00:00,24.7,2.4,13.0,0.0
2019-07-19 19:00:00,25.1,2.1,46.0,0.0
2019-07-19 20:00:00,24.4,2.4,36.0,0.0
2019-07-19 21:00:00,22.3,2.4,0.0,0.0
2019-07-19 22:00:00,19.4,1.1,0.0,0.0
2019-07-19 23:00:00,17.2,1.8,0.0,0.0
2019-07-20 00:00:00,18.3,2.2,0.0,0.0
2019-07-20 01:00:00,18.8,2.2,0.0,0.0
2019-07-20 02:00:00,17.3,2.1,0.0,0.0
2019-07-20 03:00:00,17.6,2.1,0.0,0.0
2019-07-20 04:00:00,17.1,2.5,0.0,0.0
2019-07-20 05:00:00,17.1,2.4,0.0,0.0
2019-07-20 06:00:00,16.6,2.6,0.0,0.0
2019-07-20 07:00:00,17.9,2.6,22.0,0.0
2019-07-20 08:00:00,19.6,3.0,60.0,0.0
2019-07-20 09:00:00,22.5,3.3,60.0,0.0
2019-07-20 10:00:00,25.1,5.1,60.0,0.0
2019-07-20 11:00:00,26.8,5.6,56.0,0.0
2019-07-20 12:00:00,27.2,4.2,45.0,0.0
2019-07-20 13:00:00,27.9,4.4,11.0,0.0
2019-07-20 14:00:00,28.9,4.7,24.0,0.0
2019-07-20 15:00:00,24.8,3.7,7.0,0.7
2019-07-20 16:00:00,24.9,2.4,10.0,0.2
2019-07-20 17:00:00,22.9,2.7,0.0,0.8
2019-07-20 18:00:00,23.3,1.6,1.0,0.1
2019-07-20 19:00:00,18.7,6.0,0.0,0.4
2019-07-20 20:00:00,18.8,1.8,3.0,3.0
2019-07-20 21:00:00,18.9,2.5,21.0,0.0
2019-07-20 22:00:00,18.4,1.9,6.0,0.0
